limb_start,limb_end,length_mm,min_x,max_x,min_y,max_y,min_z,max_z
0,1,343.018067442399,-65.000000,65.000000,-60.000000,60.000000,-75.000000,75.000000
0,2,90.03018342363333,-105.000000,105.000000,-105.000000,105.000000,-105.000000,105.000000
0,3,90.03018342363333,-105.000000,105.000000,-105.000000,105.000000,-105.000000,105.000000
1,4,247.1993633920534,-65.000000,65.000000,-60.000000,60.000000,-75.000000,75.000000
2,5,465.85119452517393,-170.000000,170.000000,-130.000000,155.000000,-140.000000,140.000000
3,6,465.85119452517393,-170.000000,170.000000,-155.000000,130.000000,-140.000000,140.000000
4,7,79.3949418874313,-60.000000,60.000000,-60.000000,60.000000,-60.000000,60.000000
4,8,188.83981002103027,-160.000000,160.000000,-150.000000,150.000000,-180.000000,180.000000
4,9,188.83981002103027,-160.000000,160.000000,-150.000000,150.000000,-180.000000,180.000000
5,10,486.53065237123405,-80.000000,185.000000,-70.000000,70.000000,-70.000000,70.000000
6,11,486.53065237123405,-80.000000,185.000000,-70.000000,70.000000,-70.000000,70.000000
7,12,160.14928694589247,-80.000000,80.000000,-80.000000,80.000000,-80.000000,80.000000
8,13,267.13441504821345,-160.000000,160.000000,-140.000000,140.000000,-160.000000,160.000000
9,14,267.13441504821345,-160.000000,160.000000,-140.000000,140.000000,-160.000000,160.000000
10,15,138.82770883250805,-120.000000,120.000000,-80.000000,110.000000,-95.000000,95.000000
11,16,138.82770883250805,-120.000000,120.000000,-80.000000,110.000000,-95.000000,95.000000
13,17,269.89350379936563,-50.000000,240.000000,-70.000000,70.000000,-80.000000,80.000000
14,18,269.89350379936563,-50.000000,240.000000,-70.000000,70.000000,-80.000000,80.000000
17,19,120.79363437415569,-90.000000,90.000000,-90.000000,90.000000,-110.000000,110.000000
18,20,120.79363437415569,-90.000000,90.000000,-90.000000,90.000000,-110.000000,110.000000
19,21,82.10822078195721,-100.000000,100.000000,-100.000000,100.000000,-120.000000,120.000000
19,22,54.80441325871665,-130.000000,130.000000,-130.000000,130.000000,-150.000000,150.000000
20,23,82.10822078195721,-100.000000,100.000000,-100.000000,100.000000,-120.000000,120.000000
20,24,54.80441325871665,-130.000000,130.000000,-130.000000,130.000000,-150.000000,150.000000
