limb_start,limb_end,median_length_mm
0,12,80.22144217484303
0,16,85.28098309897611
1,0,254.56363748583405
2,20,61.2389283189316
3,2,164.13104520473874
4,5,252.9857468492095
5,6,272.7538212027585
6,7,75.63209019641546
7,21,76.90229218748375
7,22,70.03563315370329
8,9,303.7679952159555
9,10,284.8727960152729
10,11,94.1169169204615
11,23,64.3584977286695
11,24,56.65686189686123
12,13,375.56044927519144
13,14,841.0415275622447
14,15,89.44271909999168
16,17,288.51514069599904
17,18,292.8042382450292
18,19,59.38899871565985
20,1,186.29814813894419
20,4,179.97452461597334
20,8,247.09714688761576
